"SEC Region","Organization CRD#","Additional CRD Number","Total number of additional CRD numbers","SEC#","Firm Type","CIK#","Total number of CIK numbers","Primary Business Name","Legal Name","Main Office Street Address 1","Main Office Street Address 2","Main Office City","Main Office State","Main Office Country","Main Office Postal Code","Main Office Private Residence Flag","Main Office Telephone Number","Main Office Facsimile Number","Total number of offices, other than your Principal Office and place of business","Mail Office Street Address 1","Mail Office Street Address 2","Mail Office City","Mail Office State","Mail Office Country","Mail Office Postal Code","Mail Office Private Residence Flag","SEC Current Status","SEC Status Effective Date","Jurisdiction Notice Filed-Effective Date","Latest ADV Filing Date","Form Version","1I","Website Address","Total Number of Website Addresses","Location of Books and Records Street Address 1","Location of Books and Records Street Address 2","Location of Books and Records City","Location of Books and Records State","Location of Books and Records Country","Location of Books and Records Postal Code","Total Number of Books and Records Locations","1M","1N","1O","1O - If yes, approx. amount of assets","1P","2B(1)","2B(2)","2B(3)","3A","3A-Other","3B","3C-State","3C-Country","6A(1)","6A(2)","6A(3)","6A(4)","6A(5)","6A(6)","6A(7)","6A(8)","6A(9)","6A(10)","6A(11)","6A(12)","6A(13)","6A(14)","6A(14)-Other","6B(1)","6B(2)","6B(3)","7A(1)","7A(2)","7A(3)","7A(4)","7A(5)","7A(6)","7A(7)","7A(8)","7A(9)","7A(10)","7A(11)","7A(12)","7A(13)","7A(14)","7A(15)","7A(16)","Count of IA Affiliates","Count of IA/BD Affiliates","Count of BD Affiliates","Control/Controlled by Related Person","Under Common Control","Share Supervised Persons","Share Location","7B","Count of Private Funds - 7B(1)","Any PFs a Master","Any Hedge Funds","Total number of Hedge funds","Any Liquidity Funds","Total number of Liquidity funds","Any PE Funds","Total number of PE funds","Any Real Estate Funds","Total number of Real Estate funds","Any Securitized Funds","Total number of Securitized funds","Any VC Funds","Total number of VC funds","Any Other Funds","Total number of Other funds","Total Gross Assets of Private Funds","Count of Private Funds - 7B(2)","10A","Count of Control person Public Reporting Company","11","11A(1)","Count of 11A(1) disclosures","11A(2)","Count of 11A(2) disclosures","11B(1)","Count of 11B(1) disclosures","11B(2)","Count of 11B(2) disclosures","11C(1)","Count of 11C(1) disclosures","11C(2)","Count of 11C(2) disclosures","11C(3)","Count of 11C(3) disclosures","11C(4)","Count of 11C(4) disclosures","11C(5)","Count of 11C(5) disclosures","11D(1)","Count of 11D(1) disclosures","11D(2)","Count of 11D(2) disclosures","11D(3)","Count of 11D(3) disclosures","11D(4)","Count of 11D(4) disclosures","11D(5)","Count of 11D(5) disclosures","11E(1)","Count of 11E(1) disclosures","11E(2)","Count of 11E(2) disclosures","11E(3)","Count of 11E(3) disclosures","11E(4)","Count of 11E(4) disclosures","11F","Count of 11F disclosures","11G","Count of 11G disclosures","11H(1)(a)","Count of 11H(1)(a) disclosures","11H(1)(b)","Count of 11H(1)(b) disclosures","11H(1)(c)","Count of 11H(1)(c) disclosures","11H(2)","Count of 11H(2) disclosures","12A","12B(1)","12B(2)","12C(1)","12C(2)"
"SFRO","162461","","","802-75167","ERA","","","DRAPER FISHER JURVETSON","DFJ MANAGEMENT, LLC","1 NORTH B STREET","SUITE 2500","SAN MATEO","CA","United States","94401","N","650-233-9000","","0","","","","","","","","ERA - Active","03/28/2012","","03/31/2025","10/2021","Y","HTTP://WWW.DFJ.COM","2","","","","","","","0","N","N","N","","","Y","N","N","Limited Liability Company","","DECEMBER","CA","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","4","0","0","Y","Y","Y","Y","Y","                   6","N","N","","N","","N","","N","","N","","Y","6","N","","         5,302,385,084.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"LARO","161930","","","802-75016","ERA","","","AVALON VENTURES MANAGEMENT, LLC","AVALON VENTURES MANAGEMENT, LLC","1134 KLINE STREET","","LA JOLLA","CA","United States","92037","N","858-348-2180","858-348-2183","0","","","","","","","","ERA - Active","03/27/2012","","03/25/2025","10/2021","Y","HTTP://WWW.AVALON-VENTURES.COM","2","","","","","","","0","N","N","N","","","Y","N","Y","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","Y","N","Y","Y","Y","                   8","Y","N","","N","","N","","N","","N","","Y","8","N","","           312,074,072.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"FWRO","324458","","","802-132691","ERA","","","EXPLORE CAPITAL MANAGEMENT, LLC","EXPLORE CAPITAL MANAGEMENT, LLC","5960 BERKSHIRE LANE","6TH FLOOR","DALLAS","TX","United States","75225","N","424-355-9191","","0","","","","","","","","ERA - Active","04/01/2025","","04/01/2025","10/2021","Y","https://www.linkedin.com/company/explorecapital/","2","","","","","","","0","N","N","N","","92-1122993","N","Y","N","Limited Liability Company","","DECEMBER","TX","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","N","N","N","N","Y","                   2","Y","Y","2","N","","N","","N","","N","","N","","N","","           114,177,533.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","284296","","","802-107991","ERA","","","AZLIN CONSULTANTS PVT. LTD.","AZLIN CONSULTANTS PVT. LTD.","C-2 BLUE HEAVEN, OPPOSITE MEGHALAY FLATS","NARANPURA","AHMEDABAD","","India","380014","N","+91 98200 79414","","1","","","","","","","","ERA - Active","06/13/2016","","06/27/2025","10/2021","N","","0","","","","","","","0","N","N","N","","213800RTF9DJSPK5QG50","N","Y","N","Corporation","","MARCH","","India","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                   0","N","N","","N","","N","","N","","N","","N","","N","","                      .00","                   1","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","316487","","","802-122615","ERA","","","ALL SEAS CAPITAL","ALL SEAS CAPITAL PARTNERS LTD","NOVA NORTH","11 BRESSENDEN PLACE","LONDON","","United Kingdom","SW1E 5BY","N","+44 20 7770 8100","","0","THE SHARD LEVEL 14","32 LONDON BRIDGE STREET","LONDON","","United Kingdom","SE1 9SG","N","ERA - Active","10/04/2021","","02/07/2025","10/2021","Y","https://www.linkedin.com/company/all-seas-capital","2","THE NEWS BUILDING, LEVEL 6","3 LONDON BRIDGE STREET","LONDON","","United Kingdom","SE1 9SG","1","Y","N","N","","","N","Y","N","Corporation","","DECEMBER","","United Kingdom","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","Y","N","Y","N","Y","                   2","N","N","","N","","Y","2","N","","N","","N","","N","","           563,373,908.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"LARO","335625","","","802-132458","ERA","","","HCAP PARTNERS, LLC","HCAP PARTNERS, LLC","4250 EXECUTIVE SQUARE","SUITE 500","LA JOLLA","CA","United States","92037","N","858-259-7654","858-452-2003","1","","","","","","","","ERA - Active","03/19/2025","","03/19/2025","10/2021","Y","http://www.hcapllc.com","1","","","","","","","0","N","N","N","","","N","Y","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                   2","N","N","","N","","N","","N","","N","","N","","Y","2","           334,080,459.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"NYRO","160515","","","802-74576","ERA","","","RATIONALWAVE ASSOCIATES CORP.","RATIONALWAVE ASSOCIATES CORP.","108 ARDSLEY ROAD","","SCARSDALE","NY","United States","10583-3629","N","914-584-5400","","0","","","","","","","","ERA - Active","03/12/2012","","04/03/2025","10/2021","Y","http://www.rationalwave.vc","1","3000 DAVENPORT AVENUE","SUITE 200","CANTON","MA","United States","02021","1","N","N","N","","","N","Y","N","Corporation","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","N","N","N","N","Y","                   1","N","Y","1","N","","N","","N","","N","","N","","N","","            38,083,759.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","321232","","","802-125837","ERA","","","GOLDEN PINE ASSET MANAGEMENT LIMITED","GOLDEN PINE ASSET MANAGEMENT LIMITED","SUITE 3910, 39/F, JARDINE HOUSE","1 CONNAUGHT PLACE, CENTRAL","HONG KONG","","Hong Kong","","N","+852 3589 5611","","0","","","","","","","","ERA - Active","05/09/2022","","03/25/2025","10/2021","Y","https://www.goldenpineinv.com/","1","PO BOX 1093, BOUNDARY HALL, CRICKET SQUARE","GRAND CAYMAN KY1-1102, CAYMAN ISLANDS","GRAND CAYMAN","","Cayman Islands","","1","Y","N","N","","2549002T2O01YNVY0M88","N","Y","N","Other (specify)","HONG KONG LIMITED COMPANY","DECEMBER","","Hong Kong","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                   2","Y","Y","2","N","","N","","N","","N","","N","","N","","           874,173,967.00","                   2","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","287923","","","802-110452","ERA","","","EM-ES FUND MANAGEMENT LTD.","EM-ES FUND MANAGEMENT LTD.","SEA MEADOW HOUSE","BLACKBURN HIGHWAY","ROAD TOWN, TORTOLA","","British Virgin Islands","VG 1110","N","+12844943399","+128444943041","0","","","","","","","","ERA - Active","04/13/2017","","03/19/2025","10/2021","Y","https://www.emesfunds.com/","1","","","","","","","0","Y","N","N","","","N","Y","N","Corporation","","DECEMBER","","British Virgin Islands","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","2","0","0","Y","N","Y","Y","Y","                   5","Y","Y","5","N","","N","","N","","N","","N","","N","","           508,967,160.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","283689","","","802-107766","ERA","","","IK INVESTMENT PARTNERS AIFM","IK INVESTMENT PARTNERS AIFM","11-13-15 AVENUE EMILE REUTER","","LUXEMBOURG","","Luxembourg","2420","N","+352 271 72600","","2","","","","","","","","ERA - Active","04/25/2016","","03/19/2025","10/2021","Y","HTTPS://WWW.IKPARTNERS.COM","1","","","","","","","0","Y","N","N","","2221005JNLYXCP7B7U41","N","Y","N","Corporation","","DECEMBER","","Luxembourg","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","1","0","0","Y","N","N","N","Y","                   0","N","N","","N","","N","","N","","N","","N","","N","","                      .00","                  10","N","                   1","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","315256","","","802-121779","ERA","","","Y2 CAPITAL PARTNERS LIMITED","Y2 CAPITAL PARTNERS LIMITED","UNIT 4320-21, 43/F","CHAMPION TOWER, THREE GARDEN ROAD, CENTRAL","HONG KONG","","Hong Kong","","N","+852 2158 9287","","0","","","","","","","","ERA - Active","06/17/2021","","06/02/2025","10/2021","Y","https://www.y2cap.com","1","89 NEXUS WAY, 2ND FLOOR, CAMANA BAY","PO BOX 31106, GRAND CAYMAN KY1-1205","GRAND CAYMAN","","Cayman Islands","","2","Y","N","N","","213800GUWWA1HB4SEZ34","N","Y","N","Other (specify)","HONG KONG LIMITED COMPANY","DECEMBER","","Hong Kong","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                   1","Y","Y","1","N","","N","","N","","N","","N","","N","","           201,677,390.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"DRO","159746","","","802-74850","ERA","","","SIGNAL PEAK VENTURES, LLC","SIGNAL PEAK VENTURES, LLC","95 S STATE STREET","SUITE 1400","SALT LAKE CITY","UT","United States","84111","N","801-942-8999","801-942-1636","0","","","","","","","","ERA - Active","03/23/2012","","03/31/2025","10/2021","Y","HTTP://WWW.SPV.COM","1","","","","","","","0","N","N","N","","","Y","N","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","Y","N","Y","Y","Y","                  25","N","N","","N","","N","","N","","N","","Y","25","N","","           817,832,343.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
