rank,tier,name,strategy,match_level,description,why_mit,website,aum_millions,fund_types,location,crd,sec_number,num_funds
27,2,HELIKON INVESTMENTS LIMITED,Opportunistic Value Equity (Global),MAYBE,"London-based global opportunistic equity L/S. Fundamental, concentrated (~18 positions). Holdings span mining/resources, airports, hospitality. Founded 2019. $6.6B AUM.","Fundamental, contrarian value approach with concentrated positions.",https://www.linkedin.com/company/helikon-investments-limited/,6564.3,Hedge(1),"LONDON, United Kingdom",307662,802-118539,1
28,2,HENGISTBURY INVESTMENT PARTNERS LLP,Ultra-Concentrated Quality Equity,YES,"London-based ultra-concentrated equity investor. Just 4 disclosed holdings (Visa, Mastercard, IBKR, Booking). 100% concentration in top 10. European-focused with global names. $2.2B AUM.",Extremely concentrated in high-quality franchise businesses. Very long-term approach.,HTTP://HENGISTBURYPARTNERS.COM/,2162.9,Hedge(1),"LONDON, United Kingdom",164430,802-77414,1
29,2,ISHANA CAPITAL LIMITED,Equity (Asia),MAYBE,Asia equity focused hedge fund. $1.3B AUM.,Asia equity focus.,http://www.ishanacapital.com,1287.0,Hedge(2),"HONG KONG, Hong Kong",289388,802-111635,2
30,2,JNE PARTNERS LLP,Value Equity (European focus),YES,"London-based fundamental value investor buying at discounts to intrinsic value. Concentrated, unlevered, long-biased, long-term. European focus. $1.5B AUM.","Strong intrinsic value discipline. Concentrated, long-term, unlevered.",https://www.jnepartners.com,1481.4,"Hedge(1), PE(1)","LONDON, United Kingdom",300860,802-114905,2
31,2,KADENSA CAPITAL LIMITED,L/S Equity (Pan-Asia),MAYBE,HK-based Pan-Asia equity. Founded by ex-Point72/Everpoint Asia head. Long-term risk-adjusted returns. ESG focus. $2.2B AUM.,Long-term equity focus in Pan-Asia with strong pedigree.,https://www.kadensacapital.com/,2210.5,Hedge(1),"CENTRAL, Hong Kong",285524,802-110605,1
32,2,KEYROCK CAPITAL MANAGEMENT LIMITED,Concentrated Value Equity (Asia-Pacific),YES,"HK-based fundamental, multi-year concentrated strategy in emerging growth companies in Asia-Pacific (especially Japan). Seeks exceptional management building high-quality businesses in tech, consumer, services. Patient capital. $444M AUM.","Multi-year, concentrated, quality-focused. Invests own capital alongside institutional investors.",https://hk.linkedin.com/company/keyrock-capital-management-limited,443.6,"Hedge(1), PE(2)","HONG KONG, Hong Kong",299521,802-114367,3
33,2,KEYSTONE INVESTORS PTE. LTD.,L/S Equity (Greater China),MAYBE,Singapore-based fundamental equity investor in Greater China. Sector-focused domain experts. $3.6B AUM.,Fundamental research-driven equity in Greater China.,https://keystone-investors.com/,3583.0,Hedge(1),"SINGAPORE, SINGAPORE, Singapore",318768,802-123649,1
34,2,KINTBURY CAPITAL LLP,Equity,MAYBE,London-based equity hedge fund. $1.8B AUM.,Equity-focused with meaningful AUM.,HTTPS://WWW.KINTBURYCAPITAL.COM,1783.2,Hedge(3),"LONDON, United Kingdom",192513,802-96171,3
35,2,KONTIKI CAPITAL MANAGEMENT (HK) LIMITED,Concentrated Quality Equity (EM),YES,"Hong Kong-based fundamental equity investor. Concentrated, high-conviction (8 positions). Owner mindset with deep research on moats and management quality. Holdings in quality EM businesses (Nu, HDFC Bank, Sea, H World). $3B AUM.","Owner-oriented, fundamental, moat-focused investing in quality businesses. Highly concentrated.",https://www.kontikicap.com,2950.7,Hedge(3),"HONG KONG, Hong Kong",172145,802-80158,3
36,2,LANDMARK VALUE INVESTMENTS,Value Investing,YES,Explicitly value-oriented investment firm. $55M AUM.,Name indicates value investing approach.,HTTP://WWW.LANDMARKVALUE.COM,55.3,Other(1),"NEW YORK, NY",162869,802-74688,1
37,2,"LIMESTONE VALUE PARTNERS, LLC",Value Equity,YES,Explicitly value-oriented hedge fund. $92M AUM.,Name and structure indicate value investing focus.,,91.7,Hedge(1),"HOUSTON, TX",152510,802-119047,1
38,2,LONG CORRIDOR ASSET MANAGEMENT LIMITED,Cross-Asset (Asia/China),MAYBE,Asia/China focused investment manager. Capital structure investing. $844M AUM.,Asia/China focus with experienced team.,https://hk.linkedin.com/company/longcorridor,844.4,Hedge(1),"CENTRAL, Hong Kong",305305,802-117327,1
39,2,NINE MASTS CAPITAL LIMITED,Equity (Asia),MAYBE,HK-based equity-focused investment firm. $1.1B AUM.,Asia equity focus with meaningful AUM.,HTTP://WWW.NINEMASTS.COM,1123.1,Hedge(1),"HONG KONG, Hong Kong",162024,802-75667,1
40,1,OLESEN CAPITAL MANAGEMENT LLC,Concentrated Value Equity (Global),YES,"Pure bottom-up, fundamental value investor inspired by Warren Buffett. Founded by Christian Olesen. Highly concentrated portfolio of 10-20 positions with no leverage. Flexible across geographies, market caps, and industries. Fund manager has 100% of investable assets in the fund. Objectives: compound wealth over the very long run, avoid permanent loss of capital (accepts volatility), significantly outperform global equities after fees. Three focus areas: Neglected Micro/Small-Caps, Contrarian Investments, Event-Driven Special Situations. $45M AUM.","Textbook Buffett-style value investing: concentrated, long-term, no leverage, 100% skin in the game. Defines risk as permanent capital loss. Seeks neglected/contrarian opportunities. Outstanding emerging manager candidate.",http://www.OlesenValueFund.com,45.2,Hedge(1),"JERSEY CITY, NJ",170638,802-79332,1
41,2,OLP CAPITAL MANAGEMENT LIMITED,Concentrated Quality Equity (China),YES,"Oceanlink. Concentrated (~10 positions), long-term, research-intensive investor in high-quality businesses. Public and private, China-focused. Ex-Harris Associates (Oakmark) pedigree. $1.9B AUM.","Highly concentrated, long-term owner's mindset. Harris Associates (value) DNA. Quality-focused.",https://www.linkedin.com/company/oceanlink-management/,1872.2,Hedge(2),"CAUSEWAY BAY, Hong Kong",289120,802-123178,2
42,2,OXBOW CAPITAL MANAGEMENT (HK) LIMITED,Fundamental Equity (Asia),MAYBE,HK-based bottom-up fundamental Asian equity investor. Founded by ex-TPG-Axon head. $1.9B AUM.,Bottom-up fundamental equity in Asia with strong pedigree.,https://www.linkedin.com/company/oxbow-capital-management/about/,1872.3,Hedge(1),"HONG KONG, Hong Kong",281481,802-106711,1
43,2,PERSEVERANCE ASSET MANAGEMENT INTERNATIONAL (SINGAPORE) PTE. LTD,Value Equity (China),YES,"China's leading public equity manager. Multi-PM platform with deep value, contrarian, and growth PMs in Greater China equities. Long-only/long-bias. Institutional quality. $1.2B intl AUM.",Leading China public equity platform with value and fundamental orientation. Long-only/long-bias.,https://www.gyasset.com/En/index.html,1163.0,Hedge(2),"SINGAPORE, Singapore",322036,802-126336,2
44,2,RADAR EQUITIES LLC,Concentrated Value Equity (LatAm),YES,"Concentrated portfolio of 7-15 positions in Brazilian/LatAm equities. Bottom-up, value-oriented, targeting mid/small-cap 'unpopular, boring, under-covered' names. Connected to 3G Capital lineage. $523M AUM.","Classic long-term, concentrated value equity approach. 3G Capital lineage. Strong co-investment alignment.",https://radarasset.com/,523.1,Hedge(2),"RIO DE JANEIRO, Brazil",324793,802-127634,2
45,2,"RED OAK PARTNERS, LLC",Small-Cap Value / Activist,YES,Value investing in misunderstood small/mid-cap opportunities. Catalyst-driven with shareholder activism. 21%+ annualized returns since 2003. $82M AUM.,Deep value in underfollowed opportunities with catalysts. Strong long-term track record.,HTTP://WWW.REDOAKPARTNERS.COM,81.5,"Hedge(2), PE(1)","BOCA RATON, FL",172149,802-119276,3
46,2,SSVL (MONACO) S.A.M.,Value Equity,MAYBE,Monaco-based value-oriented investment firm. $245M AUM.,Value orientation.,https://sterlingstrategicvalue.com/,245.0,Hedge(1),"MONACO, Monaco",298210,802-114049,1
47,2,TYBOURNE CAPITAL MANAGEMENT (HK) LTD,Growth Equity (Asia),YES,"Asia-based global growth investor. Tiger Cub (ex-Lone Pine). Long-term, concentrated, fundamental equity. Serves endowments. Now focused on long-only and late-stage private. $1.7B AUM.","Long-term, quality growth investor in Asia. Endowment-focused client base. Tiger Cub lineage.",HTTPS://WWW.TYBOURNECAPITAL.COM,1675.0,"Hedge(2), PE(5)","HONG KONG, Hong Kong",164723,802-76945,7
48,2,VALUEQUEST CAPITAL MANAGEMENT LIMITED,India Moat Investing - Quality Value Equity,YES,"India-focused moat investing strategy. Concentrated portfolio (~15 stocks) of high-quality businesses with exceptional earnings quality, strong balance sheets, high scalability at attractive valuations. Associated with Prof. Sanjay Bakshi. Andrew Marks (son of Howard Marks) took minority stake. Backed by endowments and foundations.","India moat investing with world-class pedigree (Sanjay Bakshi, Howard Marks connection). Already backed by endowments. Quality-value philosophy with concentrated, high-conviction approach.",,47.6,Hedge(1),"MAURITIUS, Mauritius",283652,802-108185,1
49,2,VELT PARTNERS INVESTIMENTOS LTDA.,Long-term Quality Equity (Brazil),YES,"Brazil-focused long-term equity investor. Deep fundamental analysis in high-quality, well-managed companies. Over a decade of value building. $296M AUM.","Quality-focused, long-term Brazil equity with emphasis on good management and financial discipline.",HTTP://WWW.VELT.COM,296.2,"Hedge(1), PE(4)","SAO PAULO, Brazil",283114,802-129973,5
50,2,VOR CAPITAL LLP,Concentrated Equity (Internet/Consumer),MAYBE,"London-based concentrated, long-biased equity in internet sector. Invests in defensible niche monopolies. $1.4B AUM.",Concentrated in defensible monopolies - quality-oriented internet equity.,https://www.vorcapital.co.uk,1392.5,"Hedge(1), PE(3)","LONDON, United Kingdom",297509,802-113815,4
51,2,WELWING CAPITAL GROUP LIMITED,Equity (Asia),MAYBE,Asia equity focused investment firm. $3.8B AUM.,Asia equity focus with significant AUM.,https://www.welwingcapital.com/,3826.1,Hedge(1),"CENTRAL, Hong Kong",306751,802-118029,1
52,2,ZENO EQUITY PARTNERS LLP,Concentrated Quality Equity (Global),YES,"London-based, 100% partner-owned (MBO from Dynamo Capital 2005). Concentrated portfolio of up to 20 companies in Americas and Europe. Focuses on Market Power, Reinvestment Opportunity, and Founder Mindset. Low turnover, long-term compounding. $504M AUM.","Textbook quality/value compounder. Focus on durable competitive advantages, reinvestment capacity, and owner-operator culture.",https://www.zenoep.com,503.5,"Hedge(6), PE(1)","LONDON, United Kingdom",163002,802-74732,7
53,3,ALL-STARS INVESTMENT LIMITED,Multi-Strategy (China),MAYBE,"China-focused investment firm. Hedge funds, PE, and other vehicles. $786M AUM.",China focus with diversified investment approach.,HTTP://WWW.ALLSTARINVESTMENTS.COM,785.5,"Hedge(1), PE(2), Other(3)","HONG KONG, Hong Kong",292840,802-112839,6
54,3,ARKENSTONE LLP,Equity/PE Mix,MAYBE,London-based equity and PE investor. $451M AUM.,Mixed equity/PE approach.,http://arkenstonegroup.com,450.6,"Hedge(1), PE(2)","ST HELIER, Jersey",307061,802-119456,3
55,3,NAVIS CAPITAL,PE Buyout (Asia),MAYBE,Asia-focused PE firm. Growth and buyout investments. $5B AUM.,"Long-term PE approach in Asia but buyout-focused, not public equity value.",HTTP://WWW.NAVISCAPITAL.COM,4975.6,"Hedge(3), PE(22), Other(1)","KUALA LUMPUR, Malaysia",162052,802-74720,26
56,3,PALLISER CAPITAL (UK) LTD,Activist (Global),MAYBE,"London-based activist fund. Founded by James Smith (ex-Elliott, 20 years). Short-duration catalyst-driven campaigns: SK Square, WHSmith, Pendragon. $1.1B AUM.","Value-oriented activist with global reach. Patient, constructive activism to unlock value.",https://pallisercap.com/,1074.8,Hedge(2),"LONDON, ENGLAND, United Kingdom",315071,802-122161,2
57,3,PERMIRA INVESTMENT ADVISERS LIMITED,Large-Cap PE Buyout,MAYBE,"Global PE firm focused on technology, consumer, healthcare, services. $68.3B AUM.","Large, well-regarded PE firm but not public equity value investing.",HTTPS://WWW.YOUTUBE.COM/USER/PERMIRATV,68323.4,"Hedge(32), PE(26), Other(1)","ST PETER PORT, Guernsey",292536,802-113066,59
58,3,VITRUVIAN PARTNERS LLP,Growth PE Buyout,MAYBE,"Global PE firm focused on growth buyouts in tech, financial services, healthcare, business services. $22.7B AUM. Top-decile returns.","Quality growth focus, but PE buyout model rather than public equity value.",HTTP://WWW.VITRUVIANPARTNERS.COM,22704.6,"Hedge(2), PE(17)","LONDON, United Kingdom",162759,802-75782,19
59,3,"ENDURING EQUITY HOLDINGS, LLC",Value-oriented (name signal),MAYBE,Firm name suggests value orientation. PE(1).,Name contains value-investing keyword. Requires further due diligence.,https://opusholdings.com,33.3,PE(1),", ",339930,802-135264,1
60,1,"PRIVATE VALUE MANAGEMENT, LP",Concentrated Value Equity (US Quality Compounders),YES,"Classic Buffett/Graham-style value investor. Established 2003 managing an Annapolis-based Family Office; launched pooled fund (CVPLP) in 2006 for accredited families and institutions. Targets companies with sustainable competitive advantages, high free cash flow, high ROIC, bought at discount to intrinsic value with margin of safety. Concentrated 25-30 positions, 50% in top 15. Very low portfolio turnover for compounding benefit. Substantial personal investment in the fund. Willing to invest in out-of-favor sectors. Buys during market declines. Atlantic Beach, FL. $30M AUM.","Textbook Buffett/Munger value investing: competitive advantages, FCF, ROIC, margin of safety, compounding, low turnover. Family office turned institutional. Contrarian. All investable capital alongside investors. Perfect seed/emerging manager for endowment.",HTTP://PRIVATEVALUELP.COM,30.0,Hedge(1),"ATLANTIC BEACH, FL",161946,802-75397,1
61,1,EDGEWORTH CAPITAL PTY LTD,Concentrated Quality Equity (Global Small/Mid-Cap),YES,"Australia-based independent asset manager running the Edgeworth Global Fund. Long-only, concentrated portfolio of high-quality small and mid-cap companies across North America, Western Europe (Nordics, UK, Germany, France), and Developed Asia (Australia, NZ, Japan). Fund capped at $500M AUM to preserve investable universe. Founded by Robert Poiner, Thomas Davies, and William Bowler. Serves HNW individuals, family offices, and endowments. ~$141M AUM.","Classic quality-focused, concentrated, long-only equity manager investing in under-researched small/mid-caps globally. Self-imposed AUM cap shows alignment with endowment-style investing. Already serves endowments and family offices.",https://www.edgeworthcapital.com/,141.2,Hedge(2),"BONDI JUNCTION, Australia",335630,802-132596,2
62,1,"ANSERES CAPITAL MANAGEMENT, LLC","Value Equity - Long-term, Risk-conscious",YES,"Value-oriented hedge fund led by Robert Joo-Hyung Lee, former analyst of Li Lu (Himalaya Capital, disciple of Charlie Munger). Emphasis on capital preservation and survival over performance. Avoids leverage and excessive concentration. Obsesses over downside risk. Jersey City, NJ. ~$30.6M AUM.","Strong value investing pedigree through Li Lu lineage. Philosophy emphasizes long-term survival and capital preservation, highly aligned with endowment objectives. Small, emerging manager with differentiated risk-conscious approach.",https://www.anserescapital.com/,30.6,Hedge(1),"JERSEY CITY, NJ",340105,802-135296,1
63,1,EAST COAST ASSET MANAGEMENT SEZC,Concentrated Quality/Value Equity (Global),YES,"Quality-focused value investor founded 2008 by Christopher Begg, Scott Bradford, and Benjamin Favazza. Owner mindset: approaches every investment as a potential purchase of the entire business. Focus on quality businesses that materially improve margin of safety and long-term compounding. Risk defined as permanent loss of capital. Merit-based capital allocation driven by each investment's compounding potential and margin of safety. Highly concentrated strategies. Serves individuals, HNW, trusts, institutions, foundations, endowments. Massachusetts-based, Cayman SEZC structure. ~$9M AUM.","Exceptional philosophical fit: owner mindset, quality businesses, margin of safety, compounding, permanent capital loss definition. Already serves endowments and foundations. Tiny AUM = true seed opportunity.",https://www.ecasset.com/,8.6,Hedge(1),"GRAND CAYMAN, Cayman Islands",311206,802-120421,1
64,1,SOHRA PEAK INVESTMENT MANAGEMENT LLC,Concentrated Value Equity (Global Small/Micro-Cap),YES,"Deep fundamental research, high-conviction, long-term value investor in predominantly small-cap and micro-cap public companies. Founded 2021 by Jonathan Cukierwar, CFA (ex-Phoenician Capital $200M+, ex-Robotti & Company $500M+, both value firms). 80%+ portfolio in international businesses (developed nations). Believes inefficiencies between price and value remain pervasive in global niches. Intentionally keeping capital base small/nimble for concentration. Planning to close fund forever at ~$34M. $25M AUM.","Outstanding emerging value manager: deep fundamental research, small/micro-cap niche with genuine edge, global orientation, value pedigree (Robotti, Phoenician). Self-imposed AUM cap shows investor alignment. Closing fund soon = scarce access.",https://sohrapeakcapital.com/,25.3,Hedge(1),"NEW YORK, NY",338819,,1
65,1,"SMOAK CAPITAL MANAGEMENT, LLC",Concentrated Small/Micro-Cap Value Equity,YES,"Small/micro-cap focused, concentrated value investor. Founded 2018 by Daniel Smoak. Seeks most asymmetric risk/reward opportunities and concentrates in them. 40.5% cumulative annualized returns since inception vs. 14.3% S&P 500. $100K invested at inception = $1.08M. All investable net worth alongside clients. Expanding into non-US markets (Japan). Currently closed to new investors. $48M AUM.",Exceptional track record (40.5% CAGR since 2018). Concentrated small/micro-cap value with full alignment (100% skin in game). Closed fund = scarcity. Expanding globally. Outstanding emerging manager.,https://www.smoakcapital.com/,48.0,Hedge(1),"PARKER, CO",293805,,1
66,1,COMPOUND CAPITAL MANAGEMENT,Fundamental Value Equity (Long-term Compounding),YES,"Value-focused investment manager solely focused on implementing a fundamental value approach that maximizes long-term compounded return on capital. Founded 2008/2012. Co-founder Gene Park: ex-Tiger Management analyst (1990-92), ex-AIG Financial Products MD, founder of Quadrant Structured ($400M equity, 20% CAGR vs. <2% S&P). Disciplined manager identifying undervalued opportunities with thorough due diligence. Nashville, TN. $33M AUM.","Explicit focus on long-term compounding via fundamental value. Tiger Management pedigree. Proven track record at prior fund (20% CAGR). Concentrated, research-intensive approach.",HTTP://WWW.COMPOUNDFUNDS.COM,33.4,Hedge(1),"NASHVILLE, TN",163159,802-74784,1
